"";"Estacion";"Camera";"Species";"DateTimeOriginal";"Date";"Time";"delta.time.secs";"delta.time.mins";"delta.time.hours";"delta.time.days";"Directory";"FileName";"metadata_Especie";"HierarchicalSubject";"Estacion2"
"1";"Henry";"Camara1";"Dudosa";2017-05-17 04:20:39;2017-05-17;"04:20:39";0;0;0;0;"C:/Users/el usuario/Desktop/jmb/Julana/Tertulia camptrapR/continuacion/mod_meta_rename/Henry";"Henry__Camara1__2017-05-17__04-20-39(1).JPG";"Dudosa_&_Mano Pelada";"Especie|Dudosa, Especie|Mano Pelada, Especie";"Henry__Camara1"
"2";"Henry";"Camara2";"Dudosa";2016-12-21 06:57:30;2016-12-21;"06:57:30";0;0;0;0;"C:/Users/el usuario/Desktop/jmb/Julana/Tertulia camptrapR/continuacion/mod_meta_rename/Henry";"Henry__Camara2__2016-12-21__06-57-30(1).JPG";"Dudosa_&_Zorro Gris";"Especie|Dudosa, Especie|Zorro Gris, Especie";"Henry__Camara2"
"3";"Henry";"Camara2";"Dudosa";2016-12-21 07:22:10;2016-12-21;"07:22:10";1478;25;0,4;0;"C:/Users/el usuario/Desktop/jmb/Julana/Tertulia camptrapR/continuacion/mod_meta_rename/Henry";"Henry__Camara2__2016-12-21__07-22-10(1).JPG";"Dudosa_&_Zorro Gris";"Especie|Dudosa, Especie|Zorro Gris, Especie";"Henry__Camara2"
"4";"Henry";"Camara2";"Dudosa";2016-12-26 08:10:18;2016-12-26;"08:10:18";434886;7248;120,8;5;"C:/Users/el usuario/Desktop/jmb/Julana/Tertulia camptrapR/continuacion/mod_meta_rename/Henry";"Henry__Camara2__2016-12-26__08-10-18(1).JPG";"Dudosa_&_Zorro Gris";"Especie|Dudosa, Especie|Zorro Gris, Especie";"Henry__Camara2"
"5";"Henry";"Camara2";"Dudosa";2016-12-27 05:43:48;2016-12-27;"05:43:48";77610;1294;21,6;0,9;"C:/Users/el usuario/Desktop/jmb/Julana/Tertulia camptrapR/continuacion/mod_meta_rename/Henry";"Henry__Camara2__2016-12-27__05-43-48(1).JPG";"Dudosa";"Especie|Dudosa, Especie";"Henry__Camara2"
"6";"Henry";"Camara2";"Dudosa";2016-12-27 09:09:44;2016-12-27;"09:09:44";12355;206;3,4;0,1;"C:/Users/el usuario/Desktop/jmb/Julana/Tertulia camptrapR/continuacion/mod_meta_rename/Henry";"Henry__Camara2__2016-12-27__09-09-44(1).JPG";"Dudosa";"Especie|Dudosa, Especie";"Henry__Camara2"
"7";"Henry";"Camara2";"Dudosa";2016-12-28 00:57:14;2016-12-28;"00:57:14";56849;947;15,8;0,7;"C:/Users/el usuario/Desktop/jmb/Julana/Tertulia camptrapR/continuacion/mod_meta_rename/Henry";"Henry__Camara2__2016-12-28__00-57-14(1).JPG";"Dudosa";"Especie|Dudosa, Especie";"Henry__Camara2"
"8";"Henry";"Camara2";"Dudosa";2016-12-28 03:58:29;2016-12-28;"03:58:29";10872;181;3;0,1;"C:/Users/el usuario/Desktop/jmb/Julana/Tertulia camptrapR/continuacion/mod_meta_rename/Henry";"Henry__Camara2__2016-12-28__03-58-29(1).JPG";"Dudosa_&_Mano Pelada";"Especie|Dudosa, Especie|Mano Pelada, Especie";"Henry__Camara2"
"9";"Henry";"Camara2";"Dudosa";2016-12-30 02:50:06;2016-12-30;"02:50:06";168696;2812;46,9;2;"C:/Users/el usuario/Desktop/jmb/Julana/Tertulia camptrapR/continuacion/mod_meta_rename/Henry";"Henry__Camara2__2016-12-30__02-50-06(1).JPG";"Dudosa_&_Zorro Perro";"Especie|Dudosa, Especie|Zorro Perro, Especie";"Henry__Camara2"
"10";"Henry";"Camara2";"Dudosa";2017-01-02 00:33:00;2017-01-02;"00:33:00";250973;4183;69,7;2,9;"C:/Users/el usuario/Desktop/jmb/Julana/Tertulia camptrapR/continuacion/mod_meta_rename/Henry";"Henry__Camara2__2017-01-02__00-33-00(1).JPG";"Dudosa_&_Rabo Molle";"Especie|Dudosa, Especie|Rabo Molle, Especie";"Henry__Camara2"
