"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","metadata_Especie","metadata_Especie_Juan","HierarchicalSubject"
"1","edita","Desconocida",2017-03-23 17:59:49,2017-03-23,"17:59:49",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Desconocido","e1.JPG","Desconocida","Desconocida","Especie|Desconocida, Especie, Especie_Juan|Desconocida, Especie_Juan"
"2","edita","Desconocida",2017-03-24 21:27:45,2017-03-24,"21:27:45",98532,1642,27.4,1.1,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Desconocido","e6.JPG","Desconocida","Desconocida","Especie|Desconocida, Especie, Especie_Juan|Desconocida, Especie_Juan"
"3","edita","Desconocida",2017-03-25 12:33:51,2017-03-25,"12:33:51",54364,906,15.1,0.6,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Desconocido","e9.JPG","Desconocida","Desconocida","Especie|Desconocida, Especie, Especie_Juan|Desconocida, Especie_Juan"
"4","edita","Gente",2017-03-23 14:02:01,2017-03-23,"14:02:01",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Gente","e12.JPG","Gente","Gente","Especie, Especie|Gente, Especie_Juan|Gente, Especie_Juan"
"5","edita","Guazubira",2017-03-25 15:55:10,2017-03-25,"15:55:10",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Guazubira","e21.JPG","Guazubira","Guazubira","Especie, Especie|Guazubira, Especie_Juan, Especie_Juan|Guazubira"
"6","edita","Guazubira",2017-03-25 22:36:30,2017-03-25,"22:36:30",22776,380,6.3,0.3,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Guazubira","e66.JPG","Guazubira","Guazubira","Especie, Especie|Guazubira, Especie_Juan, Especie_Juan|Guazubira"
"7","edita","Guazubira",2017-03-26 02:26:41,2017-03-26,"02:26:41",13183,220,3.7,0.2,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Guazubira","e84.JPG","Guazubira","Guazubira","Especie, Especie|Guazubira, Especie_Juan, Especie_Juan|Guazubira"
"8","edita","Guazubira",2017-03-26 15:35:17,2017-03-26,"15:35:17",47296,788,13.1,0.5,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Guazubira","e90.JPG","Guazubira","Guazubira","Especie, Especie|Guazubira, Especie_Juan, Especie_Juan|Guazubira"
"9","edita","Mano Pelada",2017-03-23 17:55:50,2017-03-23,"17:55:50",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Mano Pelada","e90.JPG","Mano Pelada","Mano Pelada","Especie, Especie|Mano Pelada, Especie_Juan|Mano Pelada, Especie_Juan"
"10","edita","Mano Pelada",2017-03-23 22:29:43,2017-03-23,"22:29:43",15706,262,4.4,0.2,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Mano Pelada","e98.JPG","Mano Pelada","Mano Pelada","Especie, Especie|Mano Pelada, Especie_Juan|Mano Pelada, Especie_Juan"
"11","edita","Mano Pelada",2017-03-24 21:29:57,2017-03-24,"21:29:57",81969,1366,22.8,1,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Mano Pelada","e110.JPG","Mano Pelada","Mano Pelada","Especie, Especie|Mano Pelada, Especie_Juan|Mano Pelada, Especie_Juan"
"12","edita","Pava de Monte",2017-03-26 10:15:05,2017-03-26,"10:15:05",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Pava de Monte","e152.JPG","Pava de Monte","Pava de Monte","Especie, Especie|Pava de Monte, Especie_Juan|Pava de Monte, Especie_Juan"
"13","edita","Rabo Molle",2017-03-26 00:48:27,2017-03-26,"00:48:27",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Rabo Molle","e155.JPG","Rabo Molle","Rabo Molle","Especie, Especie_Juan|Rabo Molle, Especie_Juan, Especie|Rabo Molle"
"14","edita","Zorrillo",2017-03-24 17:56:52,2017-03-24,"17:56:52",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Zorrillo","e170.JPG","Zorrillo","Zorrillo","Especie|Zorrillo, Especie, Especie_Juan|Zorrillo, Especie_Juan"
"15","edita","Zorrillo",2017-03-24 22:54:09,2017-03-24,"22:54:09",17809,297,5,0.2,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Zorrillo","e176.JPG","Zorrillo","Zorrillo","Especie|Zorrillo, Especie, Especie_Juan|Zorrillo, Especie_Juan"
"16","edita","Zorro Perro",2017-03-23 17:58:01,2017-03-23,"17:58:01",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/edita/camara1/Zorro Perro","e185.JPG","Zorro Perro","Zorro Perro","Especie|Zorro Perro, Especie, Especie_Juan|Zorro Perro, Especie_Juan"
"17","henry","Desconocida",2016-12-21 07:22:10,2016-12-21,"07:22:10",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e1.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"18","henry","Desconocida",2016-12-21 18:53:10,2016-12-21,"18:53:10",41458,691,11.5,0.5,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e4.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"19","henry","Desconocida",2016-12-24 06:53:40,2016-12-24,"06:53:40",216029,3600,60,2.5,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e7.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"20","henry","Desconocida",2016-12-25 07:40:44,2016-12-25,"07:40:44",86039,1434,23.9,1,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e16.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"21","henry","Desconocida",2016-12-26 08:10:18,2016-12-26,"08:10:18",88173,1470,24.5,1,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e19.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"22","henry","Desconocida",2016-12-27 00:51:44,2016-12-27,"00:51:44",60083,1001,16.7,0.7,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e22.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"23","henry","Desconocida",2016-12-27 05:21:37,2016-12-27,"05:21:37",16191,270,4.5,0.2,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Desconocido","e25.JPG","Desconocida","Desconocida","Especie_Juan, Especie, Especie_Juan|Desconocida, Especie|Desconocida"
"24","henry","Gente",2016-12-19 18:52:06,2016-12-19,"18:52:06",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Gente","e28.JPG","Gente","Gente","Especie_Juan, Especie, Especie_Juan|Gente, Especie|Gente"
"25","henry","Lagarto Overo",2016-12-20 11:06:52,2016-12-20,"11:06:52",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Lagarto Overo","e36.JPG","Lagarto Overo","Lagarto Overo","Especie_Juan, Especie_Juan|Lagarto Overo, Especie, Especie|Lagarto Overo"
"26","henry","Lagarto Overo",2016-12-22 10:53:20,2016-12-22,"10:53:20",171987,2866,47.8,2,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Lagarto Overo","e39.JPG","Lagarto Overo","Lagarto Overo","Especie_Juan, Especie_Juan|Lagarto Overo, Especie, Especie|Lagarto Overo"
"27","henry","Lagarto Overo",2016-12-24 12:14:50,2016-12-24,"12:14:50",177689,2961,49.4,2.1,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Lagarto Overo","e42.JPG","Lagarto Overo","Lagarto Overo","Especie_Juan, Especie_Juan|Lagarto Overo, Especie, Especie|Lagarto Overo"
"28","henry","Rabo Molle",2016-12-23 21:03:23,2016-12-23,"21:03:23",0,0,0,0,"C:/Users/gabol/Desktop/curso_camtrap/curso_dinama/clase_script/henry/camara1/Rabo Molle","e45.JPG","Rabo Molle","Rabo Molle","Especie_Juan|Rabo Molle, Especie_Juan, Especie, Especie|Rabo Molle"
